no,node0,edge1,node1,edge2,node2,edge3,node3,edge4,node4,edge5,node5,edge6,node6
1,Word Chain Game,En,English,Ha,Hand,Dr,Dragon,No,Nob,Bu,Button,Ne,Neon
2,Word Chain Game,En,English,Ha,Hand,Doo,Door,Ri,Ring,Gr,Grape,Eg,Egg
3,Word Chain Game,En,English,Ha,Hand,Dog,Dog,Go,Gorilla,Al,Alice,Eg,Egg
4,Word Chain Game,En,English,Ha,Hand,Dog,Dog,Go,Gorilla,Ar,Arm,Mo,Moon
5,Word Chain Game,En,English,Ho,Hook,Ki,Kitchen,Ni,Nickel,Le,Lemon,Ne,Neon
6,Word Chain Game,En,English,Ho,Hook,Ki,King,Go,Goal,Le,Lemon,Ne,Newton
7,Word Chain Game,Ed,Edge,Ea,Eagle,En,Engine,Eu,Euler,Ro,Robot,Ta,Tank
8,Word Chain Game,Ea,Eagle,Eu,Euler,Ru,Rule,En,Engine,Eu,Europe,Eg,Egg
9,Word Chain Game,Eu,Euler,Ed,Edge,Ea,Eagle,Eu,Europe,En,English,He,Hell
,,,,,,,,,,,,,
